name,chain,city,source,external_id,address,lat,lng,google_maps_url,booking_url,id,created_at
AEON MALL TANJUNG BARAT XXI,XXI,Jakarta,21cineplex,JKTAETB,"AEON MALL Tanjung Barat Lantai 3 Jl. Tanjung Barat No. 163, Tanjung Barat – Jagakarsa Jakarta Selatan 12660 TELEPON : ( 021 ) 50915953",-6.30697,106.83993,,https://m.21cineplex.com/cinemas/JKTAETB?city_id=10,b2b2938c-670f-40bc-ae0f-63920cc7878e,2026-05-21T00:27:57.613366
AGORA MALL XXI,XXI,Jakarta,21cineplex,JKTAGT9,"Agora Mall Lt. 3 Jl. M H Thamrin No. 10, Kebon Melati, Kec. Tanah Abang, Jakarta Pusat 10230 TELEPON : ( 021 ) 50115921",-6.198142,106.821152,,https://m.21cineplex.com/cinemas/JKTAGT9?city_id=10,7fd217b8-b213-4f66-8f33-62a82d556622,2026-05-21T00:27:57.613393
AGORA MALL PREMIERE,XXI,Jakarta,21cineplex,JKTPRAT,"Agora Mall Lt. 3 Jl. M H Thamrin No. 10, Kebon Melati, Kec. Tanah Abang, Jakarta Pusat 10230 TELEPON : ( 021 ) 50115921",-6.198142,106.821152,,https://m.21cineplex.com/cinemas/JKTPRAT?city_id=10,c9e0fd21-fb54-4a08-a9a0-ce545c33dde8,2026-05-21T00:27:57.613408
AGORA MALL IMAX,XXI,Jakarta,21cineplex,JKTIXAT,"Agora Mall Lt. 3 Jl. M H Thamrin No. 10, Kebon Melati, Kec. Tanah Abang, Jakarta Pusat 10230 TELEPON : ( 021 ) 50115921",-6.198142,106.821152,,https://m.21cineplex.com/cinemas/JKTIXAT?city_id=10,9d579112-a23e-4d5d-bdb6-727f4b685978,2026-05-21T00:27:57.613420
ARION XXI,XXI,Jakarta,21cineplex,JKTARIO,"ARION PLAZA LT. 4 JL. PEMUDA KAV. 3-4, RAWAMANGUN TELEPON : (021) 475 7658",-6.193882,106.89045,,https://m.21cineplex.com/cinemas/JKTARIO?city_id=10,db81f01c-8068-4f1f-a909-0279c01e8e75,2026-05-21T00:27:57.613433
ARTHA GADING XXI,XXI,Jakarta,21cineplex,JKTARGA,"MAL ARTHA GADING, ATRIUM ITALY, LT.6 TELEPON : (021) 4586-4123",-6.14638,106.89139,,https://m.21cineplex.com/cinemas/JKTARGA?city_id=10,096b933f-d229-4809-a146-ca0c897b04d3,2026-05-21T00:27:57.613447
BASSURA XXI,XXI,Jakarta,21cineplex,JKTBASS,BASSURA CITY LT.2 JL. BASUKI RAHMAT NO.1 JAKARTA TIMUR TELEPON: (021) - 22807229,-6.224053,106.877929,,https://m.21cineplex.com/cinemas/JKTBASS?city_id=10,b3c46aa7-fc85-4450-affc-ac362b0f25a1,2026-05-21T00:27:57.613460
BAYWALK PLUIT XXI,XXI,Jakarta,21cineplex,JKTBAPL,MAL BAYWALK PLUIT Lt. 6 JL. PLUIT KARANG AYU BLOK B1 UTARA JAKARTA UTARA TELEPON : (021) 29629621,-6.107952,106.779028,,https://m.21cineplex.com/cinemas/JKTBAPL?city_id=10,af8a4f0a-6a2a-4f96-af46-08a21e3bdf26,2026-05-21T00:27:57.613473
BAYWALK PLUIT PREMIERE,XXI,Jakarta,21cineplex,JKTPRBP,MAL BAYWALK PLUIT Lt. 6 JL. PLUIT KARANG AYU BLOK B1 UTARA JAKARTA UTARA TELEPON : (021) 29629621,-6.107952,106.779028,,https://m.21cineplex.com/cinemas/JKTPRBP?city_id=10,6763d9b4-a1fb-4b79-987f-724efebc6a24,2026-05-21T00:27:57.613484
BLOK M SQUARE,XXI,Jakarta,21cineplex,JKTBMSQ,"BLOK M SQUARE LT.5, JL. MELAWAI V, JAKARTA SELATAN TELEPON : (021) 7280 2021",-6.244494,106.800805,,https://m.21cineplex.com/cinemas/JKTBMSQ?city_id=10,5ef221f4-8b66-4019-98b8-b37152d59d25,2026-05-21T00:27:57.613496
